,precision,recall,f1-score,support
Not Suitable,0.9985986547085202,0.997899453858003,0.9982489318484276,7141.0
Less Suitable,0.9942959001782531,0.9893579283433842,0.9918207681365576,2819.0
Mildly Suitable,0.625,0.8823529411764706,0.7317073170731707,34.0
Highly Suitable,0.6,0.9,0.72,10.0
accuracy,0.9950019992003198,0.9950019992003198,0.9950019992003198,0.9950019992003198
macro avg,0.8044736387216933,0.9424025808444644,0.860444254264539,10004.0
weighted avg,0.9957180263770531,0.9950019992003198,0.9952535402326135,10004.0
