label,precision,recall,f1-score,support
Not Suitable,0.9985996359053354,0.9985996359053354,0.9985996359053354,7141.0
Less Suitable,0.9960742326909351,0.9900673997871585,0.9930617327877602,2819.0
Mildly Suitable,0.6739130434782609,0.9117647058823529,0.775,34.0
Highly Suitable,0.6,0.9,0.72,10.0
accuracy,0.9958016793282687,0.9958016793282687,0.9958016793282687,0.9958016793282687
macro avg,0.8171467280186329,0.9501079353937116,0.8716653421732738,10004.0
weighted avg,0.9963860761129555,0.9958016793282687,0.9960007021919929,10004.0
