resume_id,job_id,job_title,jaccard_similarity
1,23,DIGITAL CLIENT SUCCESS MANAGER,0.0
1,24,DOCUMENT SCANNER,0.0
1,25,DRIVER SALESMAN,0.0
1,26,DRIVER,0.0
1,27,ENCODER,0.0
1,28,EXTRUCT SALESMAN,0.0
1,29,FABRICATOR,0.0
1,30,FEMALE OFFICE STAFF,0.0
1,31,FEMALE,0.0
1,32,FIELD SALES SUPERVISOR,0.0
1,33,FIELD STAFF,0.0
1,34,FIELD SUPERVISOR,0.0
1,35,FINANCE STAFF,0.0
1,36,FINISHING CARPENTER,0.0
1,37,FOOD PREPARATION MALE,0.0
1,38,FOOD PREPARATION,0.0
1,39,FOOD SERVER,0.0
1,40,GEODETIC ENGINEER,0.0
1,41,HOTEL HOUSEKEEPING STAF,0.0
1,42,HR COORDINATOR(1),0.0
1,43,HR COORDINATOR,0.0
1,44,HR RECRUITER,0.0
1,45,HR STAFF,0.0
1,46,INVENTORY ANALYST,0.0
1,47,INVENTORY ASSISTANT,0.0
1,48,JAPANESE BILIGUAL,0.0
1,49,JAPANESE BILINGUAL,0.0
1,50,JAPANESE BILINGUAL2,0.0
1,51,JUNIOR MANAGEMENT TRAINEE,0.0
1,52,KITCHEN STAFF,0.0
1,53,LABOR,0.0
1,54,LAUNDRY ATTENDANT,0.0
1,55,MALE SERVICE STAFF,0.0
1,56,MANAGEMENT TRAINEE,0.0
1,57,MANDARIN BILINGUAL,0.0
1,58,MARKETING SPECIALIST,0.0
1,59,MARKETING VIRTUAL ASSISTANT,0.0
1,60,MEDIA SPECIALIST,0.0
1,61,NON-VOICE TUTOR,0.0
1,62,OFFICE STAFF,0.0
1,63,OFFICE STAFF,0.0
1,64,OFFICE STAFF,0.0
1,65,OFFICE STAFF,0.0
1,66,OFFICE STAFF,0.0
1,67,OFFICE STAFF,0.0
1,68,OFFICE STAFF,0.0
1,69,OFFICE STAFF,0.0
1,70,OPERATIONS MANAGER,0.0
1,71,OPERATIONS SUPERVISOR,0.0
1,72,PANEL DRIVER,0.0
1,73,PART-TIME-BARISTA,0.0
1,74,PASSENGER SERVICE AGENT,0.0
1,75,PAYROLL OFFICER,0.0
1,76,PIZZA MAKER,0.0
1,77,PRODUCTION HELPER,0.0
1,78,PROMOTER,0.0
